State,rural
Alabama,41
Alaska,34
Arizona,10.2
Arkansas,43.8
California,5
Colorado,13.8
Connecticut,12
Delaware,16.7
Florida,8.8
Georgia,24.9
Hawaii,8.1
Idaho,29.4
Illinois,11.5
Indiana,27.6
Iowa,36
Kansas,25.8
Kentucky,41.6
Louisiana,26.8
Maine,61.3
Maryland,12.8
Massachusetts,8
Michigan,25.4
Minnesota,26.7
Mississippi,50.6
Missouri,29.6
Montana,44.1
Nebraska,26.9
Nevada,5.8
New Hampshire,39.7
New Jersey,5.3
New Mexico,22.6
New York,12.1
North Carolina,33.9
North Dakota,40.1
Ohio,22.1
Oklahoma,33.8
Oregon,19
Pennsylvania,21.3
Rhode Island,9.3
South Carolina,33.7
South Dakota,43.3
Tennessee,33.6
Texas,15.3
Utah,9.4
Vermont,61.1
Virginia,24.5
Washington,15.9
West Virginia,51.3
Wisconsin,29.8
Wyoming,35.2